reviewer_name,review_title,review_content,rating,review_date
Tom V,Microsoft - a disgusting organisation,"I'm not one for the 'mental health' bandwagon, but Microsoft have serisously damaged my wellbeing.The most disgusting, profiteering, sneering, foul and ethically corrupt organisation I've ever had the misfortune to be involved with. The total lack of support for bugs in their products causing massive problems every single day in my working life, is despicable. All they care about is their own bank balance.You'll get your karma.",1,2025-07-01T12:49:32.000Z
Robert William Platt,Used their support services to download…,"Used their support services to download a security update. They took control of my pc to execute same. The agent explained he needed to update Windows 11. However once the update completed I couldn’t access my pc !Contacted them on three separate occasions and post explaining the problem they cut the call, leaving me without my pc. Have again contacted them but no reply. I pay an annual subscription via MS 365 not for this awful service. My pc is only 5 months old and was circa £1000. No wonder they are losing hundreds of millions of customers",1,2025-06-30T18:23:03.000Z
Nick Mays,ZERO Customer Care and Support,"Miscrosoft have a virtual monopoly and treat their customers like ****. NO live agents, NO phone numbers which connect to a human and absolutely ZERO customer care support.If I could award No stars or zero stars, I would.",1,2025-06-29T12:32:25.000Z
Gabriel Floyd,Their update crashed my laptops ability…,Their update crashed my laptops ability to connect to the internet - I sat on the phone for 2 hours and reached no one. Awful service.,1,2025-06-27T17:14:32.000Z
Shane Bingham,non-existant support,"Recenty got hacked and my back-up email and phone number was also changed. I have done account recovery but obviously whoever hacked it just keeps deleting my changes or revert whatever I do to try and recover my account.Microsofts support and help is non existant and very unhelpful in my situation. I am really unhappy with the lack of supportEven though I may never recover my microsoft account which will be a tragedy, I have bought a macbook instead.Bye bye microsoftPs I am trading in my xbox for a ps5, I will never buy a microsoft product as long as I live!",1,2025-06-24T17:17:16.000Z
Aaron Foster,Terrible service. Will be looking to delete my account and move over to a better service going forward.,For something as crucial as logging into my email account Microsoft offers absolutely no support.They don’t allow you to speak to a human. And once you’ve called them on a certain number they will block the menu option and auto hang up so you can’t get any support. Their chat service can only be accessed when logged in and i can’t they have made my life less secure.,1,2025-06-24T16:15:40.000Z
Ryan Cooper,Tried to recovery my email,"Tried to recovery my email, I provided bank account proof,xbox ID, last email sent, previous passwords yet was not good enough I could provide more yet no option or email to proceed further. Microsoft is useless and I'm very disappointed.",1,2025-06-23T19:57:36.000Z
Stan Arnold,Lost my password for Microsoft 365,"Lost my password for Microsoft 365, It is unreal what you have to go through to request password reset.  No responds from Microsoft and no help.  It is the worst I ever seen. Canceled through credit card and now using WPS Office.",1,2025-06-22T21:14:59.000Z
Raiyan Tarafder,Didn't helped much.,"The support team person was humble, but didn't know the basics of trouble shooting..",2,2025-06-19T15:28:35.000Z
Kardashian Victoria,My laptop is always updated without my…,My laptop is always updated without my permission. Sometimes I'm working in an excel and the system shut down-> starting updating!!!! it's reallly annoying me and it feels like someone is controling my device. I hope the miscrosoft can offer me a solution that's i don't need ANY UPDATES!,1,2025-06-19T09:00:36.000Z
Matt Bailiff,Horrible,"Horrible.  They arbitrarily deleted my account on accident, which they admit, and haven't restored it in over 2 weeks.  Haven't been able to even log in to my desktop.  The worst.  I'd sue them over this if I had the time.",1,2025-06-19T02:21:41.000Z
Agustin,No phone support whatsoever,"Terrible experience trying to get support on a business account. Just get stuck on a damn loop with an ai assistant. This is ridiculous. I recommend going with someone else, maybe google workspace if you need services for your company.",1,2025-06-19T00:21:28.000Z
Debra Jewell,Microsoft is a P. O. S.,"I am so mad that I spent an hour with a CSA, trying to get help with being double charged, before I came over here to see the solid ""1"" for customer satisfaction scores. They have a monopoly with these freaking computers, so we don't have any choice. Not going to waste any more time here as I see Microsoft does not care what people think of them nor do they fear we will ""go somewhere else."" POS!!!",1,2025-06-18T22:25:55.000Z
gregory cottone,I'm trying to get a new phone number…,I'm trying to get a new phone number from the Phone Number Service Center of Microsoft. Such a terrible experience. They never reply. Zero assistance.,1,2025-06-17T15:26:41.000Z
Consumer,Terrible and stole 70 dollars from me…,Terrible and stole 70 dollars from me basically and hung up on me.,1,2025-06-17T00:56:58.000Z
Patrick Hall,Microsoft garbage,"Microsoft needs a negative review rather than 1 star. I turned off updates some weeks ago because they always lose everything I am working on. Today I left the keyboard for 20 minutes, open up and the useless machine says ""Update completed"" and yes, it has lost all my work again. Microsoft specialises in writing complete garbage software. Avoid at all costs.",1,2025-06-16T20:51:23.000Z
